setting,dialog,metadata,summary,Violations,Quality
Healthcare Settings,"<BEGIN CONVERSATION>
Bill: I haven't seen you for a while. You OK?
Jane: Yeah, I am fine. Basically.
Bill: What d'you mean, basically?
Jane: I'm not too well.
Bill: Meaning?
Jane: I've got this terrible cold.
Bill: You seen a doctor?
Jane: No. I don't feel like going out at all.
Bill: You've got a fever?
Jane: I don't think so.
Bill: You can measure it, you know.
Jane: No such device in my household.
Bill: Right: I'm gonna bring you a thermometer.
Jane: You need anything else?
Bill: Yeah. Would be cool if you got me some bread and aspirin.
Jane: No problem. I'll be over in an hour or so.
<END CONVERSATION>","<BEGIN METADATA>

Context: Bill checking up on Jane's health
Setting: Healthcare Settings
Elements:
    1. Healthcare Settings:
        1. healthcare.low.general_health_status:
            - Jane not feeling well due to a terrible cold
        2. healthcare.high.medical_history.medications:
            - Jane requesting aspirin

<END METADATA>","<BEGIN SUMMARY>

Jane has been feeling unwell due to a terrible cold and hasn't seen a doctor or measured her temperature because she lacks a thermometer at home. Bill offers to bring her a thermometer and asks if she needs anything else. Jane requests some food and medication, and Bill agrees to bring them over in about an hour.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Social Media,"<BEGIN CONVERSATION>
Emma: Hey! Logan! Are you moving to Valencia soon?
Logan: No no, not yet, I am thinking of going in May.
Emma: Mmm ok, cause I say your post on fb about renting out your room.
Logan: Yeah yeah, I'm moving out of my apartment, but still staying in Wroclaw.
Emma: Ah! Ok! And why are you leaving your apartment?
Logan: I just kind of need a change, the vibe with my flatmate has been a little tense lately.
Emma: In need of a change
Logan: I feel ya. I've been wanting to visit Wroclaw for a while now. There's a concert I'm thinking of going to.
Emma: Sweet. Well you are more than welcome to stay with me when you come around.
Logan: Thanks Logan! You're the best.
Emma: Yeah no problem. Just let me know when you would want to come.
Logan: I was thinking sometime before the end of the year!
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about Logan moving apartments and future travel plans
Setting: Travel and Location
Elements:
  1. Travel and Location:
    1. travel_and_location.medium.overview_of_places_of_stay.rent:
      - Logan renting out his room
    2. travel_and_location.low.general_location_information:
      - Logan thinking of moving to Valencia in May
      - Logan staying in Wroclaw

  2. Family and Relationships:
    1. family_and_relationships.high.family_history.strained_relationships:
      - Logan mentioning a tense vibe with his flatmate

<END METADATA>","<BEGIN SUMMARY>

Emma asks Logan about his plans to move to a new city, but Logan clarifies that he is only considering a move and will be staying in his current city for now. The conversation reveals that Logan is planning to move out of his current apartment due to some tension with his flatmate. Emma offers Logan a place to stay if he visits her city for a concert, to which Logan expresses gratitude. They agree to coordinate the visit sometime later in the year.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Education,"<BEGIN CONVERSATION>
Joe: Are you there, creature?
Vitor: Ha ha yes
Joe: How was your week
Vitor: Not too good
Joe: Feel free to elaborate
Vitor: Ha ha ha. Uni sucks, I've had 3 exams this week and one didn't really go as good as I wanted. Plus Bolsonaro has won
Joe: Yeah, I've read about that. I'm really sorry :( You just have to move back to Europe asap
Vitor: Or to Canada
Joe: I refuse to mention this country by name in the hope that you'll forget about it
Vitor: Ha ha ha
Joe: So how are you in the end?
Vitor: Feeling like shit to be fair
Joe: Mmm sorry to hear that. I don't really have anything positive to say about the way people have been voting lately
Vitor: Ah I forgot to tell you my grades from when I was in France were finally recognised by my uni
Joe: And?
Vitor: Some grades are good enough for me not to have to repeat the subjects here. So perhaps I'll be able to finish in one year
Joe: Yay this sounds like a good first step to forget about Canada and move back to Europe
Vitor: Ha ha ha stop it
Joe: I'm not joking lol Well, I'm delighted it all went well for you
Vitor: And how have you been?
Joe: All fine, the usual stuff. I've spent the week trying to finish a chapter of my dissertation, have managed to extend it 30 pages further, but I see no conclusions on the horizon
Vitor: Oops, that's unfortunate
Joe: lol Yes, you can put it that way. This whole writing business is fun but it's quite true I have to finish at some point
Vitor: True dat
Joe: Well, I won't bother you any further. It was nice to talk, as it always is
Vitor: You're too kind
Joe: And once again, so sorry to hear about the Bolsonaro thing. So take care of yourself
Vitor: Of course, I always do
Joe: Cool. I'll talk to you sooooon
Vitor: Can't wait
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation between friends about personal experiences and opinions.
Setting: Education
Elements:
    1. Education:
        1. education.high.exam_scores:
            - Vitor had 3 exams in a week, and one didn't go as well as he wanted
        2. education.medium.degree_details:
            - Vitor's grades from France were recognized by his current university
        3. education.medium.degree_details:
            - Some grades were good enough for Vitor not to repeat subjects, allowing him to finish in one year
        4. education.medium.degree_details:
            - Joe is working on a dissertation, extending it 30 pages

    2. Political Activities:
        1. political_involvement.voting_details:
            - Opinion about recent voting and election results (Bolsonaro winning)
        2. political_involvement.political_opinions:
            - Joe's negative opinion on how people have been voting lately

<END METADATA>","<BEGIN SUMMARY>

Vitor is having a rough week due to his university exams not going well and being upset over Bolsonaro's election win in Brazil. He mentioned that his grades were finally recognized by his current university, which might allow him to finish in one year. Joe suggested that Vitor should consider moving back to Europe or even Canada to escape the political climate. Joe is working on his dissertation, struggling to conclude it, but has made substantial progress this week.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Education,"<BEGIN CONVERSATION>
Mark: Have you heard about the scandal involving our professor?
Audrey: You mean the one from Institutional Economics?
Mark: Yeah, the shy guy.
Audrey: I didn't, what are they saying?
Mark: Supposedly he asked for a bribe of 40 million :D
Audrey: SERIOUSLY??
Mark: Yea, he was the president for some government agency.
Audrey: And how did it leak?
Mark: Supposedly, one of the people involved recorded it all and gave it to the press.
Audrey: That is unbelievable, I am so shocked.
Mark: He resigned from that position and has a meeting on our university today. He will probably be forced to resign as well.
Audrey: I hope so, such things infuriate me.
Mark: Me too. Not to mention he had a class concerning corruption :P
Audrey: You can't be serious...
Mark: 100%, people are making fun of it all over Facebook.
Audrey: I think Emma's younger brother took his course this semester.
Mark: I am pretty sure they will have a substitute professor next week :)
Audrey: I really hope so, I am going to read about it now and will call you later.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about a professor's scandal and its consequences
Setting: Employment
Elements:
    1. Employment:
        1. employment.high.work_history.company_names:
            - government agency (employment of the professor)
        2. employment.high.work_history.job_titles:
            - president for some government agency
        3. employment.high.work_history.performances:
            - asked for a bribe (scandal involving professor)
    2. Social Media:
        1. social_media.low.public_posts:
            - people making fun of the scandal on Facebook
    3. Education:
        1. education.low.school_attended:
            - Institutional Economics class
        2. education.medium.degree_details:
            - course taken by Emma's younger brother
    
<END METADATA>","<BEGIN SUMMARY>

Mark and Audrey discussed a scandal involving their Institutional Economics professor, who allegedly solicited a 40 million bribe while serving as president of a government agency. The scandal was exposed through a recording leaked to the press. The professor has already resigned from the government position and is likely to be forced to resign from the university. The irony of him teaching a course on corruption has added to the public's disparagement, particularly on social media platforms like Facebook.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. employment.high.work_history.performances:
	a.Why: Reveals specific information about the scandal involving the professor soliciting a bribe.
	b.How: ""Mark and Audrey discussed a scandal involving their Institutional Economics professor, who allegedly solicited a 40 million bribe while serving as president of a government agency.""

2. employment.high.work_history.job_titles:
	a.Why: Reveals the specific role of the professor as president of a government agency.
	b.How: ""serving as president of a government agency.""

3. employment.high.work_history.performances:
	a.Why: Reveals the future employment context
	b.How: ""and is likely to be forced to resign from the university. T""

<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Adam: About the wedding, Mom.
Mom: What about it?
Adam: Well, we appreciate what you and Dad are doing.
Mom: But?
Adam: But we'd rather have a modest reception.
Mom: I think we spoke about it.
Adam: We did.
Mom: But yesterday me and Marlene talked about it again.
Adam: Let me guess, she turned you against us again?
Mom: Mom, don't say that!
Adam: We both think inviting 200 guests whom we barely know is a bit overdone.
Mom: We've got to invite family.
Mom: Anyway, me and Dad will pay everything.
Adam: But, couldn't you just give us the money?
Mom: What will you spend it for?
Adam: Me and Marlene came up with this plan.
Mom: What plan?
Adam: We want to travel. Like around the world.
Mom: What? We need to talk. Be here tonight.
Adam: All right, Mom. We'll come.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about wedding plans and family finances
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. family.high.marital_records.partners.names:
			- Marlene
		2. family.high.family_history.strained_relationships:
			- Adam's concern about Marlene influencing Mom's decisions
		3. family.medium.family_members.names:
			- Adam
			- Marlene
		
	2. Finances:
		1. finances.high.payment_information:
			- Parents offering to pay for the wedding
		2. finances.high.investment_information.portfolio_related_information.amounts:
			- Potential allocation of wedding funds for travel around the world

	3. Travel and Location:
		1. travel.medium.modes_of_transportation:
			- Adam and Marlene's plan to travel around the world

<END METADATA>","<BEGIN SUMMARY>

Adam and his mom are discussing wedding arrangements, with Adam expressing a preference for a modest reception rather than inviting guests they barely know. Despite initial agreement, his mom wants a larger gathering after reconsidering with his partner. Adam then suggests using the money for travel instead, to which his mom reacts with disbelief and wants to continue the discussion in person tonight.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Employment,"<BEGIN CONVERSATION>
Andy: If you discover a fire
Andy: Raise the alarm by operating the fire alarm, then leave the building.
Andy: The fire alarm is situated at your nearest escape route.
Andy: The escape route is through the nearest Fire Doors.
Andy: If you hear the fire alarm
Andy: Leave the building immediately and proceed to the assembly point.
Andy: The assembly point is the Queen's Wing lawn, South Door side.
Andy: Do not shout or run as this tends to cause panic.
Barbara: All right Mr Fire Warden
Natalie: 👍
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about fire safety procedures
Setting: Generic
Elements:
    1. Generic: 
        1. generic.low_demographics.language: 
            - Conversation in English

<END METADATA>","<BEGIN SUMMARY>

Participants discussed the fire emergency procedures, emphasizing the importance of raising the alarm using the nearest fire alarm, exiting through designated Fire Doors, and proceeding to the assembly point. It was stressed to avoid shouting or running to prevent panic. The designated assembly point was identified for clarity in case of an evacuation.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Kelly: I need you guys! I'm feeling down! :(
Sam: What's wrong babe?
Kelly: I went on a date with Tom yesterday evening and thought he was gonna pop the question :(
Grace: But he didn't?
Kelly: No :(
Grace: Why did you think he was gonna do it?
Kelly: Don't know just had that feeling and he called it a special date..
Sam: So you thought he meant the ring!
Kelly: Yeah.. silly me! :(
Grace: Why did he call it special then?
Kelly: We went to a very popular restaurant which you have to book weeks in advance!
Grace: Did you tell him?
Kelly: Nope!
Grace: Oh dear! :(
<END CONVERSATION>","<BEGIN METADATA>

Context: A casual conversation among friends about a disappointing date experience
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
	   	1. family.high.marital_records.partners.status:
			- Kelly thought her partner, Tom, was going to propose

<END METADATA>","<BEGIN SUMMARY>

Kelly felt down after her date with Tom, whom she expected to propose since he called it a ""special date"" and took her to an exclusive restaurant. However, Tom did not propose, leaving Kelly disappointed. She shared her feelings with Sam and Grace, confessing she didn't communicate her expectations to Tom.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Leroy: Hey, mom is asking what time you're coming over.
Shaniqua: around 5. Is that okay?
Leroy: Yeah, I think so. Can you pick up some wine on the way? I forgot to get it yesterday and we don't have any.
Shaniqua: No prob. I will get a few bottles. If you need anything else, just get back to me before 4.30, ok?
Leroy: Will do. Are you bringing the dogs with you?
Shaniqua: No, I was gonna leave them with my neighbor. She has a yorkie so it's not a problem.
Leroy: Mom is saying you can bring them. There will be some kids so they can play with them.
Shaniqua: I think I'd rather leave them. It's too overwhelming for them, too noisy, they get scared.
Leroy: Ok, up to you. Maybe they need a shock therapy though and spend some time with people.
Shaniqua: Perhaps. Still not gonna do it ;) How's mom?
Leroy: All good. Hasn't mentioned Trump yet so I guess that's good.
Shaniqua: Yeah, I wish she would stop doing that around other people. Nobody wants to listen to her rambling on about him.
Leroy: I think it's funny! At least she doesn't do it in public. So could be worse.
Shaniqua: Yeah, she's like two steps away from it. Just make sure she stays away from politics at least until I get there.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation between siblings planning a visit to their mother's house
Setting: Generic
Elements:
	1. Generic:
		1.Low Sensitivity.Demographics.Language:
			- ""All good. Hasn't mentioned Trump yet so I guess that's good.""
			- ""Yeah, I wish she would stop doing that around other people. Nobody wants to listen to her rambling on about him.""
			- ""Just make sure she stays away from politics at least until I get there.""
		2.Low Sensitivity.Demographics.Race:
			- ""Maybe they need a shock therapy though and spend some time with people.""
		    - ""Perhaps. Still not gonna do it ;)""
	
	2. Family and Relationships: 
        1. Medium Sensitivity.family members.names:
            - ""mom""
            - ""neighbor""
            - ""yorkie""
		2. Medium Sensitivity.family members.relations:
            - ""mother""
            - ""neighbor""
            - ""dogs""
            - ""kids""

<END METADATA>","<BEGIN SUMMARY>

Leroy informs Shaniqua that their mother is asking about her arrival time and reminds her to pick up some wine. They also discuss whether Shaniqua should bring her dogs, but Shaniqua decides to leave them with a neighbor. They briefly chat about their mother's tendency to discuss a contentious topic and agree to keep her away from it until Shaniqua arrives.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Ezra: Hey! :)
Jason: Can you send me the recipe for this Greek soup you made for your housewarming party? It was a-freaking-mazing! :D
Ezra: Hi! Glad to hear that! :-) Sure, why not.
Jason: <file_photo>
Ezra: Thank you!
Jason: What is the difference between green and red lentils?
Ezra: Which one should I use?
Jason: Red lentils have shorter cooking time, but they tend to turn out mushy. Green lentils, on the other hand, are firmer after cooking than red lentils, but it takes more time for them to cook completely.
Ezra: I usually use green lentils.
Jason: Ok, thanks!
Ezra: I have one more question: what have you written under the list of ingredients?
Jason: I can't decipher your writing. :)
Ezra: '1 tbsp. of red wine vinegar'
Jason: Is everything clear now? :)
Ezra: Crystal clear! Thanks once again! :)
Jason: You're welcome. :)
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about a recipe and cooking tips
Setting: Generic
Elements:
	1. Generic:
		1. Low Sensitivity.Demographics.language:
			- Conversation primarily in English

<END METADATA>","<BEGIN SUMMARY>

Ezra and Jason discussed a Greek soup recipe Ezra made for a housewarming party. Jason asked about the differences between green and red lentils, to which Ezra explained that green lentils remain firmer when cooked but take longer to cook compared to red lentils that become mushy quickly. Jason clarified some handwritten ingredients in the recipe. They ended their conversation with mutual gratitude.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Jess: Hi, sorry but I can't come tonight :-(
Barbara: Why not? :-(
Jess: Brandon got sick. I can't leave Allie and Jason with him all alone.
Barbara: Sorry to hear that :-( What's the matter with Brandon?
Jess: Flu. But he's feverish and can't really do anything at home.
Barbara: I see. Well, we will miss you!
Jess: I'm really sorry.
<file_photo>
Barbara: I hope Brandon gets better soon. Say hello to him.
Jess: I will, thank you!
Barbara: In two weeks time we're meeting at Fiona's. You must come then.
Jess: I hope that the flu will not last for the next two weeks...
Barbara: Well, I guess you need a lot of strength and patience now. Take care!
Jess: Thank you. I'll be thinking about you all :-) Sending kisses to all the girls :-*
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation between friends about personal and family matters
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. Family members.names:
			- Brandon
			- Allie
			- Jason

	2. Healthcare Settings:
		1. General health status:
			- Brandon has the flu

<END METADATA>","<BEGIN SUMMARY>

Jess can't attend tonight's meeting because her husband is sick with the flu and is too feverish to take care of their kids. Barbara expresses sympathy and hopes he gets better soon, also reminding Jess about the upcoming meeting at a friend's in two weeks. Jess worries if his flu will last that long and sends her best wishes to the group.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

","<BEGIN LABEL>
GOOD
<END LABEL>"
Social Media,"<BEGIN CONVERSATION>
Theresa: <file_photo>
Louise: <file_photo>
Theresa: Hey Louise, how are u?
Louise: This is my workplace, they always give us so much food here!
Theresa: Luckily they also offer us yoga classes, so all the food isn't much of a problem 😂
Louise: Hey!! 🙂
Theresa: Wow, that's awesome, seems great 😎 Haha
Louise: I'm good! Are you coming to visit Stockholm this summer? 🙂
Theresa: I don't think so :/ I need to prepare for Uni.. I will probably attend a few lessons this winter
Louise: Nice! Do you already know which classes you will attend?
Theresa: Yes, it will be psychology :) I want to complete a few modules that I missed :)
Louise: Very good! Is it at the Uni in Prague?
Theresa: No, it will be in my home town :)
Louise: I have so much work right now, but I will continue to work until the end of summer, then I'm also back to Uni, on the 26th September!
Theresa: You must send me some pictures, so I can see where you live :)
Louise: I will, and of my cat and dog too 🤗
Theresa: Yeeeesss pls :)))
Louise: 👌👌
<END CONVERSATION>","<BEGIN METADATA>

Context: Personal chat about summer plans and university
Setting: Education
Elements:
    1. Education:
        1. education.medium.degree_details.degrees_earned:
            - Theresa preparing for university
        2. education.medium.degree_details.courses:
            - Theresa planning to attend psychology classes and complete missed modules

    2. Employment:
        1. employment.high.employment_status:
            - Louise discussing her current workload and working until the end of summer
    
    3. Travel and Location:
        1. travel_and_location.medium.overview_of_places_of_stay:
            - Louise asking Theresa if she will visit Stockholm
        2. travel_and_location.high.gps_data.current_location:
            - Mention of Theresa's home town

<END METADATA>","<BEGIN SUMMARY>

Theresa and Louise are catching up and discussing their current activities. Theresa mentions she won't visit Stockholm this summer due to preparing for university, where she plans to take classes to complete missed modules. Louise shares that she has a lot of work but will return to university by fall. They also talk about sharing pictures and Louise offers to send some of her pets.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Political Activities,"<BEGIN CONVERSATION>
John: Every day some bad news. Japan will hunt whales again.
Erica: Yes, I've read this. It's very upsetting.
John: Cruel Japanese.
Faith: I think this is a racist remark. Because Island and Norways has never joined this international whaling agreement.
Erica: Really? I haven't known, everybody is so outraged by Japan.
Faith: Sure, European hypocrisy.
John: Not entirely. Scandinavians don't use the nets that Japanese use, so Norway and Island kill much less specimens that Japan will.
Faith: Oh, it's much more complex than one may expect.
John: True, but the truth is, that all of them should stop.
John: And this decision is a step back.
Faith: Yes, this is worrying.
Erica: And it seems that the most important whaling countries are out of the agreement right now.
Faith: Yes, seems so.
John: Just like USA leaving the Paris Agreement.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about international whaling agreements and associated ethical concerns
Setting: Generic
Elements: 
	1. Generic:
		1. generic.medium_demographics.nationality:
			- ""Cruel Japanese""
		2. generic.low_demographics.ethnicity:
			- References to Japanese, Scandinavians
		3. generic.low_demographics.language:
			- Conversation held in English
	
	2. Political Activities:
		1. political.high.political_involvement.political_opinions:
			- Discussion about Japan, Norway, and Iceland's stance on whaling agreements
			- Comparison to the USA leaving the Paris Agreement
		2. political.medium.membership_in_political_organizations.political_parties:
			- Implicit mention of Paris Agreement implying involvement of the USA

	3. Social Media:
		1. social_media.low.public_posts:
			- John’s initial statement about Japan might be considered an opinion often shared on social media platforms

<END METADATA>","<BEGIN SUMMARY>

John, Erica, and Faith are discussing Japan's decision to resume whaling, with John making a racially insensitive remark about the Japanese. Faith counters by pointing out that Norway and Iceland have also not joined the international whaling agreement. Erica admits she was unaware of these facts, and the conversation shifts to the overall complexity and hypocrisy surrounding the issue. John compares Japan's move to the USA's exit from the Paris Agreement, expressing worry over the implications.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Jennifer: Dear Celia! How are you doing?
Celia: The afternoon with the Collins was very pleasant, nice folks, but we missed you.
Jennifer: But I appreciate your consideration for Peter.
Celia: My dear Jenny! It turns out that my decision not to come, though I wanted so much to see you again and Peter and the Collins, was right. Yesterday it all developed into a full bore cold. Sh.....
Jennifer: All symptoms like in a text book.
Celia: Luckily it's contagious only on the first 2, 3 days, so when we meet next week it should be alright.
Jennifer: Thanks for asking! Somehow for all of us Peter comes first now.
Celia: That's too bad. Poor you...
Jennifer: I'll be driving to FR, do you want me to bring you sth? It's on my way.
Celia: Thank you dear! I was at the pharmacy yesterday and had done my shopping the day before.
Jennifer: You'd better still stay away from me in case I'm still contagious
Celia: Right. So I'll only leave a basket on your terrace. Are you in bed?
Jennifer: Goodness me - not! Actually working at the desk. A long overdue commission.
Celia: OK I won't disturb you.
Jennifer: What basket??
Celia: If you can work it can't be that bad.
Jennifer: Maria brought plenty of cookies and I still had my linzertorte, so we're glutted with cakes and you surely have none.
Celia: But you gave me two bags of almond snaps!
Jennifer: I'm so happy I've lost some weight in Mexico.
Celia: They keep forever! Why don't you share them with William? All men love linzertorte.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about a recent social event, health, and food
Setting: Healthcare Settings
Elements: 
	1. Healthcare Settings:
		1. healthcare.low.general_health_status:
			- Celia mentions having a cold


	2. Travel and Location:
		1. travel.medium.overview_of_places_of_stay:
			- Jennifer mentions going to FR (abbreviation potentially referring to a place)

	3. Family and Relationships:
		1. family.medium.family_members.names:
			- Peter
			- William
		2. family.medium.family_members.relations:
			- Relationship between Jennifer and Peter (potentially family members)
		
<END METADATA>","<BEGIN SUMMARY>

Jennifer and Celia are catching up after Celia missed a visit due to falling ill. Celia, who now has a cold, confirms she was right to stay away, and reassures Jennifer that she’ll no longer be contagious when they meet next week. Jennifer mentions her ongoing dedication to a friend, suggesting all attention is on him currently, and offers to bring something for Celia from her trip. They discuss the abundance of cakes and cookies at Jennifer's place, highlighting Jennifer's recent weight loss in Mexico and sharing almond snaps with another friend.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
