setting,dialog,metadata,summary,Violations,Quality,Corrected_Summary
Employment,"<BEGIN CONVERSATION>
Mrs. Smith: Come in, please.
Mr. Sun: Good morning, Mrs. Smith.
Mrs. Smith: Good morning. You are Mr. Sun, aren't you? Take a seat, please.
Mr. Sun: Yes, thank you.
Mrs. Smith: I've noticed from your resume that you majored in accounting at Peking University. Will you please tell me something about your related courses?
Mr. Sun: In the first academic year we learned Principles of Accounting, and in the following years we learned Cost Accounting, Commercial Accounting, Industrial Accounting, and Management Accounting.
Mrs. Smith: Have you taken Accounting for Decision-Making and Control?
Mr. Sun: No, we haven't taken such a course, but we have taken a more specialized course for decision making, by the name of Forecasting and Decision-Making.
Mrs. Smith: From your school report card, I can see you did well in every course. But our advertisement says we need an accountant with practical work experience.
Mr. Sun: I forgot to include my experience as an accountant in my resume. In fact, I took a part-time job as an accountant at the Atlantic Trading Company during my second and third school year. I worked three evenings a week there and I did quite well. Here is the recommendation.
Mrs. Smith: You can speak English fluently but I wonder if you can deal with bookkeeping and accounting in English.
Mr. Sun: No problem. The professional English course is just English for Accounting. Moreover, as you know, the Atlantic Trading Company is a Sino-Australian joint venture. When I served part-time there, I became well acquainted with accounting operated in English.
Mrs. Smith: That sounds fine. Why did you choose to apply to our company?
Mr. Sun: I have a relative working as a manager in your manufacturing department. Her name is Lilling. She told me a lot about your company and I became quite interested. I believe I can have a promising career with the development of this company.
Mrs. Smith: Do you know something about the payment we give to our employees?
Mr. Sun: No, can you tell me about it?
Mrs. Smith: Of course. As for an entry-level accountant, we pay 1,500 a month in the first half-year. We have a grading system to evaluate your work. If you have made progress, we will certainly raise your salary. For beginners with a CPA certificate, they can earn at least 2,000 a month.
Mr. Sun: I have passed the five courses required by the Chinese CPA Association, but the certificate won't come to hand until next month. How about that?
Mrs. Smith: I hope you can show me your CPA certificate before we reach a decision by the end of July.
Mr. Sun: Thank you, Mrs. Smith. It is really a pleasure talking with you.
Mrs. Smith: The same for me. We'll keep in touch with you.
Mr. Sun: Thank you. Good-bye.
<END CONVERSATION>","<BEGIN METADATA>

Context: Job Interview
Setting: Employment
Elements:
    1. Employment:
        1. employment.high.employment_status:
            - Mr. Sun applying for a position as an accountant at Mrs. Smith's company
        2. employment.high.work_history.job_titles:
            - Part-time accountant
        3. employment.high.work_history.company_names:
            - Atlantic Trading Company
        4. employment.high.work_history.performance:
            - Mr. Sun did well in his part-time job at Atlantic Trading Company
        5. employment.high.work_history.reference_names:
            - Lilling (relative working as a manager in the manufacturing department)
        6. employment.high.work_history.salaries:
            - Entry-level accountant payment: 1,500 a month in the first half-year, raising with progress
            - CPA certificate holders: at least 2,000 a month
        7. employment.medium.professional_references:
            - Mr. Sun provided a recommendation from Atlantic Trading Company
        8. employment.medium.employer_information.company_name:
            - Atlantic Trading Company
        
    2. Education:
        1. education.high.academic_records:
            - Mr. Sun majored in accounting at Peking University
        2. education.medium.degree_details.degrees_earned:
            - Mr. Sun's degree from Peking University
        3. education.medium.degree_details.majors:
            - Accounting
        4. education.low.school_attended.name:
            - Peking University
    
    3. Finances: 
        1. finances.medium.investment_information:
            - CPA certificate details provided by Mr. Sun regarding Chinese CPA Association

<END METADATA>","<BEGIN SUMMARY>

Mrs. Smith is interviewing Mr. Sun for an accountant position. Mr. Sun shared his background, including studying accounting at Peking University and practical experience at Atlantic Trading Company. He mentioned a relative, Lilling, who works as a manager in the company's manufacturing department. Mrs. Smith explained the salary structure, mentioning that beginners with a CPA certificate can earn at least 2,000 a month, and requested Mr. Sun to provide his CPA certificate before a final decision by the end of July.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. employment.high.employment_status:
	a. Why: Revealing specific job applications can compromise personal privacy and professional confidentiality.
	b. How: ""Mr. Sun applying for a position as an accountant at Mrs. Smith's company""

2. employment.high.work_history.company_names:
	a. Why: Disclosing exact company names where someone has worked reveals identifiable employment history, which is sensitive.
	b. How: ""practical experience at Atlantic Trading Company""

3. employment.high.work_history.reference_names:
	a. Why: Mentioning specific individuals as professional references violates their privacy and can lead to unsolicited contact or reputational issues.
	b. How: ""a relative, Lilling, who works as a manager in the company's manufacturing department""

4. employment.high.work_history.salaries:
	a. Why: Disclosing specific salary information is sensitive and can lead to personal and financial privacy issues.
	b. How: ""beginners with a CPA certificate can earn at least 2,000 a month""

5. education.high.degree_details.degrees_earned:
	a. Why: Revealing exact degree details can lead to identifiable information being exposed.
	b. How: ""Mr. Sun shared his background, including studying accounting at Peking University""

<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>

A candidate discussed their educational background and professional experience with an interviewer for a position. The candidate mentioned having studied accounting and having practical experience. The interviewer explained the salary structure and requested relevant certification before making a final decision.

<END SUMMARY>"
Legal Proceedings,"<BEGIN CONVERSATION>
Alice: Wow, your coat's got very dirty. Did you fall?
John: Yes, I had a terrible experience on the underground train when I was on the way to work. I tell you, a man came up to me and pulled out a knife. He pointed it right at me.
Alice: Oh, no. Are you all right? Did he hurt you?
John: No, he didn't, but he took my handbag.
Alice: Then what happened? What did you do?
John: I caught hold of his knife and he pushed me to the floor.
Alice: Oh, no. Why did you catch hold of his knife? That's dangerous.
John: I don't know. I didn't think.
Alice: What did the other passengers do? Did they help you?
John: Yes. Two men ran after the robber and held him.
Alice: Did the police come?
John: Yes, the police were called and two policemen came and took the robbers to the police station.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about a robbery incident involving John on his way to work.

Setting: Legal Proceedings
Elements:
	1. Legal Proceedings:
		1.high.court_records.arrest_records:
			- Robber was arrested
		2.high.court_records:
			- Police involvement and taking the robber to the police station

	2. Travel and Location:
		1.high.travel_history:
			- Incident occurred during travel on the underground train

	3. Family and Relationships:
		1.medium.family_members.names:
			- John's name

	4. Healthcare Settings:
		1.low.general_health_status:
			- John was not physically harmed during the incident

	5. Finances:
		1.high.payment_information:
			- Handbag was stolen

<END METADATA>","<BEGIN SUMMARY>

John shared that he got his coat dirty during a robbery on the underground train while heading to work. A man pulled a knife on him, stole his handbag, and pushed him to the floor when John tried to grab the knife. Two other passengers chased and held the robber until the police arrived and arrested him.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John shared that he got his coat dirty during a robbery on the underground train while heading to work. A man pulled a knife on him, stole his handbag, and pushed him to the floor when John tried to grab the knife. Two other passengers chased and held the robber until the police arrived and arrested him.

<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
Maria: I would like to get some meat today.
John: What kind do you need?
Maria: I need about a pound of ground beef.
John: The ground beef is $2.48 a pound.
Maria: That sounds good.
John: What else would you like?
Maria: I also need three pounds of chicken breasts.
John: The chicken breasts are $4.05 a pound.
Maria: How much will the three pounds of chicken cost altogether?
John: Altogether, it's going to be $12.15.
Maria: That will be all for me.
John: All right, let me get your meat for you.
<END CONVERSATION>","<BEGIN METADATA>

Context: Transaction at a grocery store
Setting: Generic
Elements:
    1. Generic:
        1. low.demographics.language:
            - English conversation

<END METADATA>","<BEGIN SUMMARY>

Maria asked John about purchasing meat, and John provided the prices for the items after some quick calculations. Maria confirmed her order, and John proceeded to prepare it.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Maria asked John about purchasing meat, and John provided the prices for the items after some quick calculations. Maria confirmed her order, and John proceeded to prepare it.

<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Alice: I watched a very interesting documentary about plants yesterday evening. It was called 'unusual plants' and looked at several species of plants from around the world which have unusual features.
Bob: Really? Tell me about some of the plants they showed.
Alice: Well. There was one type of plant that catches insects and eats them.
Bob: Is that type of plant found in this country?
Alice: No, it isn't. it's a pity, because I'd like to see it in action.
Bob: So would I. what other unusual plants did they show?
Alice: They showed flowers that only provide their nectar to one type of butterfly or bee. The insect has to be the exact size to get the nectar. Other insects cannot get it. Of course, when the insect collects the nectar, it also takes some pollen from one flower to another.
Bob: That's very specialized. So, the insects and the flowers rely on each other. If one became extinct, the other would too.
Alice: That's right. That's one reason why it's so important to protect every species.
Bob: I see. The plants that fascinate me most are cacti. I find it amazing that they can survive in such dry desert conditions.
Alice: According to the documentary, they have an incredible ability to find water supplies, however small, and then store them without losing much through evaporation.
Bob: That's why they often have long roots to find water spines instead of leaves, to reduce water loss.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about a documentary on unusual plants
Setting: Generic
Elements:
	1. Generic:
	    1. generic.low.demographics.language:
		    - The conversation is conducted in English
	    2. generic.low.demographics.nationality:
		    - Mention of the country regarding the presence of insect-eating plants
  
<END METADATA>","<BEGIN SUMMARY>

Alice and Bob talked about an interesting documentary on unusual plants worldwide, focusing on insect-eating plants, flowers that provide nectar to specific insects, and cacti's adaptations to desert conditions. They discussed the interdependence between certain flowers and insects and the importance of species protection. The conversation highlighted the specialized and fascinating survival mechanisms of these plants.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alice and Bob talked about an interesting documentary on unusual plants worldwide, focusing on insect-eating plants, flowers that provide nectar to specific insects, and cacti's adaptations to desert conditions. They discussed the interdependence between certain flowers and insects and the importance of species protection. The conversation highlighted the specialized and fascinating survival mechanisms of these plants.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
Jonathan: Good morning. Are you Mr. Liu?
Liu Lichi: My name is Liu Lichi. How do you do?
Jonathan: How do you do? Please be seated, How is your trip here?
Liu Lichi: Quite good, I think. I came here by bus, and it took me about 15 minutes.
Jonathan: Oh, yes. How old are you?
Liu Lichi: Twenty.
Jonathan: Hum, still a student?
Liu Lichi: Yes, I'm a student of grade 3 in the university majoring in economics.
Jonathan: What subjects are you studying?
Liu Lichi: English, math, commercial and legal studies, and accountancy.
Jonathan: Have you had any working experience.
Liu Lichi: Well, I worked at a supermarket during last summer holidays.
Jonathan: What do you like to do in your spare time?
Liu Lichi: I like sports very much. Besides that, I also like working on a computer in my spare time.
Jonathan: How are your English and computer skills?
Liu Lichi: I have passed the CET - 4 and 6. As far as computer is concerned I can use the computer for word processing.
<END CONVERSATION>","<BEGIN METADATA>

Context: Interview between Jonathan and Liu Lichi discussing Liu's background and skills.
Setting: Employment
Elements:
	1. Employment:
		1. employment.high.employment_status:
			- Liu Lichi worked at a supermarket during last summer holidays
		2. employment.high.work_history.job_titles:
			- Supermarket role (implied from employment at supermarket)
		3. employment.low.general_employment_status:
			- Liu Lichi currently a student (implying not in current employment role)
		
	2. Education:
		1. education.medium.degree_details.degrees_earned:
			- Liu Lichi majoring in Economics
		2. education.low.school_attended.name:
			- University (name not specified)
		3. education.low.school_attended.batch:
			- Grade 3
		4. education.low.courses_done:
			- English
			- Math
			- Commercial and legal studies
			- Accountancy
		
	3. Generic:
		1. generic.medium.demographics.date_of_birth:
			- Twenty years old
		2. generic.medium.demographics.nationality:
			- Implied nationality (Not directly stated)
		3. generic.low.demographics.language:
			- Speaks English

<END METADATA>","<BEGIN SUMMARY>

Jonathan interviewed Liu Lichi, a 20-year-old university student majoring in economics. Liu mentioned that he traveled by bus and it took him about 15 minutes to reach the interview. He disclosed taking subjects like English, math, commercial and legal studies, and accountancy and mentioned working at a supermarket during his last summer holidays. Liu highlighted his proficiency in English, having passed CET-4 and CET-6, and his basic computer skills in word processing.

<END SUMMARY>","<BEGIN VIOLATIONS>
    1. generic.high.demographics.date_of_birth:
        a. Why: The specific age of Liu Lichi is mentioned, which is considered medium sensitivity under demographics.
        b. How: Sentences from Summary revealing explicitly the information -> ""a 20-year-old university student""

    2. employment.medium.employment_status:
        a. Why: The specific information about Liu Lichi's employment at a supermarket is disclosed.
        b. How: Sentences from Summary revealing explicitly the information -> ""mentioned working at a supermarket during his last summer holidays""

    3. education.high.academic_records.courses:
        a. Why: The specific information about Liu Lichi's coursework is disclosed.
        b. How: Sentences from Summary revealing explicitly the information -> ""He disclosed taking subjects like English, math, commercial and legal studies, and accountancy"" and "" having passed CET-4 and CET-6, and his basic computer skills in word processing."" 
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>
Jonathan interviewed Liu Lichi, a university student majoring in economics. Liu mentioned that he traveled by bus to reach the interview. He also highlighted his proficiency in English and his basic computer skills in word processing.
<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Alice: Are you excited about your trip next month?
John: Yes and no. I can't wait to go to Europe, but at the same time I am terrified.
Alice: Why?
John: Well, I have acrophobia. I have a chronic fear of flying.
Alice: Oh really? I have an uncle who is also terrified of flying. It's not that bad though, I mean, it is pretty scary to be in this big machine flying through the air at seven hundred miles per hour. I actually have arachnophobia.
John: You're scared of spiders? I actually have two more phobias. Acrophobia and glossophobia.
Alice: I guess that explains why you are afraid of flying, but public speaking is not that bad.
John: Are you kidding? When I get on stage, my palms start to sweat, I get really nervous and I can hardly speak.
Alice: Well, I must confess I am a bit claustrophobic. I hate being in an elevator for more than 5 seconds.
John: We are such weirdos right?
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about upcoming travel and personal fears/phobias.
Setting: Healthcare Settings
Elements:
	1. healthcare_settings.high.medical_history:
	    - John: Acrophobia (fear of heights), chronic fear of flying, glossophobia (fear of public speaking)
	    - Alice: Arachnophobia (fear of spiders), Claustrophobia (fear of confined spaces)

<END METADATA>","<BEGIN SUMMARY>

John is anxious about his upcoming trip to Europe due to his chronic fear of flying (acrophobia) and also suffers from glossophobia (fear of public speaking). Alice relates by sharing that she has arachnophobia (fear of spiders) and mild claustrophobia. They both acknowledge their various phobias and refer to themselves humorously as ""weirdos.""

<END SUMMARY>","<BEGIN VIOLATIONS>
 1. healthcare.high.health_status.diseases:
        a. Why: The specific information about phobias is disclosed.
        b. How: Sentences from Summary revealing explicitly the information -> ""chronic fear of flying (acrophobia) and also suffers from glossophobia (fear of public speaking).""  and ""Alice relates by sharing that she has arachnophobia (fear of spiders) and mild claustrophobia."" 

1. generic.high.slags.mockery:
        a. Why: The specific information about mocking is disclosed.
        b. How: Sentences from Summary revealing explicitly the information -> ""refer to themselves humorously as weirdos."" 
<END VIOLATIONS>

Too many specific details have been leaked here","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John is anxious about his upcoming trip to Europe due to his chronic fear of flying (acrophobia) and also suffers from glossophobia (fear of public speaking). Alice relates by sharing that she has arachnophobia (fear of spiders) and mild claustrophobia. They both acknowledge their various phobias and refer to themselves humorously as ""weirdos.""

<END SUMMARY>"
Education,"<BEGIN CONVERSATION>
Alice: I don't understand why you always look so happy, so energetic. It seems like you'Ve got good news everyday.
Mr. Wang: Really? Do I look happy all the time?
Alice: All I know is you look quite differently from other teachers.
Mr. Wang: Oh, do you know why? Actually, it's easy. Because I always exercise. My exercise, I think, is very hard. I often feel very good after conquering these difficulties. I feel alive!
Alice: Oh, I know. I saw you doing pull-ups one time on the campus and some students trying to imitate you.
Mr. Wang: Yeah, they are doing it for fun. Seldom would people like my exercise. It's difficult and boring.
Alice: It's true. Many students do the exercise when they have to. We have P. E. once a week.
Mr. Wang: But I think Chinese students need to exercise more. Besides exercise will help them learn new things better. Don't students want to have a good memory?
Alice: Of course. I didn't know that. I only know exercise makes bodies stronger. I should take some exercise then. Do you have any suggestions?
Mr. Wang: Well, do what you like to do. It can be anything. Jogging, doing aerobics, going bicycling, and playing ping-pong. Absolutely anything. Doing three or more workouts a week is good for you. But remember to do some stretches first.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion between a student and a teacher about maintaining happiness and the benefits of exercise.
Setting: Generic
Elements:
    1. generic.low.demographics.language:
        - Conversation held in an unspecified language (default assumption as general communication)
    2. generic.low.demographics.nationality:
        - Implicit indication of Chinese nationality (Mr. Wang's mention of ""Chinese students"")

<END METADATA>","<BEGIN SUMMARY>

Alice is curious why Mr. Wang always appears energetic and happy, to which he credits his rigorous exercise routine. Mr. Wang explains that while his workouts are tough and often perceived as boring, they make him feel alive and improve memory and learning abilities. He encourages Alice to exercise regularly, listing various cardio activities and stresses the importance of stretching. Alice is inspired to incorporate exercise into her routine.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

Keep Summaries Longer and avoid using specifics like the different types of cardio exercises asked. Just group them under a generic umbrella term.","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alice is curious why Mr. Wang always appears energetic and happy, to which he credits his rigorous exercise routine. Mr. Wang explains that while his workouts are tough and often perceived as boring, they make him feel alive and improve memory and learning abilities. He encourages Alice to exercise regularly, listing various cardio activities and stresses the importance of stretching. Alice is inspired to incorporate exercise into her routine.

<END SUMMARY>"
Healthcare Settings,"<BEGIN CONVERSATION>
John Taylor: Oath, I think I broke my leg.
Nurse: Here, sir, sit down in this wheelchair.
John Taylor: Thanks.
Nurse: The doctor will be with you in a moment. I just need to ask you a few questions.
John Taylor: All right.
Nurse: Name, age and date of birth, please.
John Taylor: John Taylor, 32, May 23, 1970.
Nurse: Health insurance company and policy number?
John Taylor: I don't have it.
Nurse: What?
John Taylor: I don't have health insurance.
Nurse: Well, this is going to be a very expensive broken leg, Mr. Taylor.
<END CONVERSATION>","<BEGIN METADATA>

Context: Interaction at a healthcare facility following an injury
Setting: Healthcare Settings
Elements: 
	1. Healthcare Settings:
		1.healthcare.high.medical_history:
			- Possible broken leg
		2.healthcare.medium.health_insurance_details:
			- Lack of health insurance
		3.generic.medium.demographics.date_of_birth:
			- Date of Birth: May 23, 1970

<END METADATA>","<BEGIN SUMMARY>

John Taylor, a 32-year-old man, believes he has broken his leg and is currently being assisted by a nurse in a healthcare facility. When asked for his health insurance details, John revealed that he doesn't have any health insurance. The nurse indicated that this would make his medical treatment quite costly.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. generic.high.demographics.date_of_birth:
	a. Why: The metadata contains the exact date of birth for John Taylor, making it highly sensitive information.
	b. How: ""John Taylor, a 32-year-old man,""
	
2. healthcare.high.health_insurance_details:
    a. Why: The summary reveals that John does not have any health insurance, specific to his situation.
    b. How: ""John revealed that he doesn't have any health insurance.""

<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>
An individual believes he has broken his leg and is currently being assisted by a nurse in a healthcare facility. When asked for his health insurance details, he indicated that he does not have any health insurance. The nurse mentioned that this would make his medical treatment quite costly.
<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
John: I have never done this before and don't know where to begin as far as making an offer on this house.
Agent: Hi, just be relaxed. Leave the details of making the offer up to me. Now, please tell me. What were you thinking you should offer?
John: All I know is that I absolutely must have this house! And I think I shall pay three hundred and fifty thousand dollars or more.
Agent: It is best to start a little low on the first bid to allow for a counter-offer. How about offering three hundred and twenty thousand dollars?
John: I hope that the owners aren't insulted by that offer.
Agent: Your offering price is not out-of-line. The owners will either take it or make a counter-offer.
John: Does it usually take very long for the owners to get back to you with an acceptance?
Agent: It usually doesn't take very long for owners to respond to an offer.
John: Should I be in touch with my bank to tell them to get the loan papers ready?
Agent: The only thing you should do now is relax. You already are pre-qualified for your loan.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about making an offer on a house
Setting: Finances
Elements:
	1. Finances:
		1.high.payment_information.account_numbers:
			- Pre-qualified loan (John)
		2.medium.loan.scheme:
			- Home purchase loan
		3.medium.loan.amount:
			- $320,000 initial offer
			- $350,000 potential maximum offer

<END METADATA>","<BEGIN SUMMARY>

John is eager to purchase a house and is prepared to offer $350,000 or more, but his agent advises starting with a lower bid of $320,000 to allow room for a counter-offer. John is worried about the owners being insulted by the lower offer, but the agent reassures him that the offer is reasonable and that owners typically respond quickly. John is pre-qualified for a loan and is asked to relax while the process unfolds.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. finances.high.budget:
    a. Why: The summary reveals house budgets, specific to his situation.
    b. How: ""John is eager to purchase a house and is prepared to offer $350,000 or more, but his agent advises starting with a lower bid of $320,000 .""

<END VIOLATIONS>

Avoid specific figures in Summaries, it is fine for generic well known cases but generally could cause a violation.","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John is eager to purchase a house and is prepared to offer $350,000 or more, but his agent advises starting with a lower bid of $320,000 to allow room for a counter-offer. John is worried about the owners being insulted by the lower offer, but the agent reassures him that the offer is reasonable and that owners typically respond quickly. John is pre-qualified for a loan and is asked to relax while the process unfolds.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Alex: Dad, can I go to a movie with Sharon?
Dad: Yeah, sure, but wait. Weren't you supposed to get a report card sometime this past week?
Alex: Well, oh yeah. Can I call Sharon now?
Dad: Uh-hum. You didn't answer my question. Did you receive it or not?
Alex: I love you Dad! You're the best!
Dad: Don't try to butter me up. I can guess that your answer means that you didn't do well in some of your classes?
Alex: Well, my English teacher is soooo boring, and he blows up every time someone talks.
Dad: In other words, you're not doing so well?
Alex: Uh, a C ... minus.
Dad: Oh. Well, how are you doing in your Spanish class? You said you liked that one.
Alex: Well, I do, but I forgot to turn in a couple of assignments, and I had problems on the last test. All those verbs tripped me up. I get them all mixed up in my head!
Dad: Okay, and what about algebra?
Alex: Ah, I'm acing that class. No sweat.
Dad: Oh!
Alex: Can I go now?
Dad: And how are you doing in history?
Alex: Oh, that's my favorite class. Mr. Jones is always passing out candy if you know the answers to his questions.
Dad: Great. Now, I have a bright daughter with tooth decay.
Alex: Ah, Dad. Can I go now?
Dad: You can go if you answer my history question. How old am I?
Alex: Uh, fifty-five?
Dad: Fifty-five! You just failed a math and history test at the same time!
Alex: Dad ...
Dad: Well, okay, but you need to come straight home from the movie, and you need to practice your clarinet.
Alex: Oh, I forgot about that grade?
Dad: What?
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation between Alex and her Dad discussing school grades and movie outing
Setting: Education
Elements:
	1. Education:
		1. education.high.academic_records.exam_scores:
			- Alex received a C minus in English
			- Alex had problems on the last Spanish test
		2. education.high.academic_records.courses_done_failed:
			- Not doing well in English class
			- Forgot to turn in assignments in Spanish class
			- Acing algebra class
		3. education.high.academic_records.assignment_completed_failed:
			- Forgot to turn in a couple of Spanish assignments
		4. education.medium.degree_details.degrees_earned:
			- No specific degree mentioned, implied variety of subjects
      
	2. Family and Relationships:
		1. family.medium.family_members.relations:
			- Relationship context as daughter and father

<END METADATA>","<BEGIN SUMMARY>

Alex asks their dad for permission to go to a movie with a friend, but the dad first inquires about a report card, hinting at some academic struggles. Although Alex is excelling in some subjects, they have mixed academic results overall. The conversation ends with the dad agreeing to let Alex go to the movie, with a reminder to focus on school responsibilities and practice an instrument.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

No need to mention any specifc subjetcs or courses, maybe 1-2 generics but too many would cause a violation.","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alex asks their dad for permission to go to a movie with a friend, but the dad first inquires about a report card, hinting at some academic struggles. Although Alex is excelling in some subjects, they have mixed academic results overall. The conversation ends with the dad agreeing to let Alex go to the movie, with a reminder to focus on school responsibilities and practice an instrument.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
John: So it looks like we start selling in the U.S. next year.
Chen: Did Mr. Lin put you in charge of marketing?
John: He's still not sure whether he wants to put me in charge, or whether he wants to hire an American. But even if he hires an American, I'll probably be transferred to our American office.
Chen: Where will it be?
John: We aren't sure yet. Maybe L.A. I think L.A. would be the best idea.
Chen: Is it because of trade negotiations that we can start selling in the U.S.?
John: Yes, the recent agreements between the two governments have changed everything. Now we have the right to sell in America at a much lower tariff. It's going to be good. We can compete more directly with them.
Chen: Great.
John: Our computers have a high level of quality now. We can demonstrate it. And our prices will be good. So I think it will really be worthwhile.
Chen: You seem excited about it.
John: Well, you know I studied marketing in America. So maybe the thought of going back there to promote our brand is kind of exciting to me. I'd love to be part of the team.
Chen: Do you honestly think we can compete though? All the computer giants are there.
John: Yes, I do. I think we can compete. I think we can make a name for ourselves. It will be hard at first. But if we develop a good advertising campaign, I think we can break into the market.
Chen: The company will have to choose a good advertising firm. And then there's the problem of quality. How do we convince American buyers that our quality is good?
John: It takes some time. Because even if the quality is high, people won't accept a high tech product unless they recognize the name. Name recognition is crucial.
Chen: Well, I hope it all works out, John. I think if you're part of the team, things will go well. But you know we'd all miss you here. So I won't say I'm happy to think that you're leaving.
John: That's very nice of you to say. But if we set up an office there in the States, maybe you could try to become part of it.
Chen: Me? No way. I'm dedicated to the company, but I'm not going to leave Taiwan. I'm happy here.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about business expansion and potential job transfers.
Setting: Employment
Elements:
	1. Employment:
		1. employment.high.employment_status:
			- John potentially being in charge of marketing
			- John potentially being transferred to the American office
		2. employment.high.work_history.job_titles:
			- marketing (John)
		3. employment.high.work_history.company_names:
			- Company's American office location (not yet determined, possibly L.A.)
		4. employment.medium.employer_information.manager_names:
			- Mr. Lin
		5. employment.medium.employer_information.company_name:
			- Company's American office
	
	2. Travel and Location:
		1. travel_and_location.medium.overview_of_places_of_stay.owned_places:
			- American office location, potentially L.A.

<END METADATA>","<BEGIN SUMMARY>

John and Chen are discussing their company's plans to start selling computers in the U.S. next year due to new trade agreements that reduce tariffs. John mentions he's being considered for a marketing position, either leading the team or possibly being transferred to the U.S. John is enthusiastic about the opportunity, although Chen expresses doubt about competing with established American brands. Despite his support for John, Chen is not interested in relocating.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John and Chen are discussing their company's plans to start selling computers in the U.S. next year due to new trade agreements that reduce tariffs. John mentions he's being considered for a marketing position, either leading the team or possibly being transferred to the U.S. John is enthusiastic about the opportunity, although Chen expresses doubt about competing with established American brands. Despite his support for John, Chen is not interested in relocating.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Waiter: Are you ready to order now, sir?
Customer: Yes.
Waiter: Would you like an appetizer?
Customer: Yes. I'd like a crab cocktail.
Waiter: Would you like some soup first?
Customer: Very well.
Waiter: What kind of soup would you like?
Customer: I want egg soup.
Waiter: Have you decided on anything?
Customer: I'd like to have some meat.
Waiter: How about stewed-fried steamed pork?
Customer: No, thank you.
Waiter: Are you interested in today's special?
Customer: What is it?
Waiter: Twice cooked spicy pork slices.
Customer: OK. Let me try it.
Waiter: Anything else?
Customer: No, thank you.
<END CONVERSATION>","<BEGIN METADATA>

Context: Restaurant ordering interaction between a waiter and customer.
Setting: Generic
Elements:
	1. generic.low.demographics.language:
	    - Conversation carried out in English

<END METADATA>","<BEGIN SUMMARY>

A customer at a restaurant orders some starters. For the main course, after a brief discussion with the waiter, the customer decides to try the day's special. The customer declines other recommendations and does not order additional items.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

No need to mention specific items ordered as they could reveal food habits","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

A customer at a restaurant orders some starters. For the main course, after a brief discussion with the waiter, the customer decides to try the day's special. The customer declines other recommendations and does not order additional items.

<END SUMMARY>"
